"Study","Study.year","Study.month","Duration.month","Latitude","Longitude","Family","Species","Herbivore","N.species","Leaf.age","No.plants","No.leaves","Units","damage","Region"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus subcuneata","all",1,"Mature",1,50,50,0.049270488,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.032377018,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.061825877,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.00623549,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.039611973,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.027968952,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.008216702,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.005074663,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.016345092,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.016287116,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.022788893,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus subcuneata","all",1,"Mature",1,50,50,0.008144546,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus subcuneata","all",1,"Mature",1,50,50,0.047359066,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus subcuneata","all",1,"Mature",1,50,50,0.000844973,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus subcuneata","all",1,"Mature",1,50,50,0.006231837,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.003371764,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.005983877,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.036107592,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.049718075,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.061163321,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.006405796,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.011577049,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.006614396,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.045167831,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.009806647,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.062422033,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.0567798,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.020737551,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.011263812,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.06093492,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.037048097,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.013520185,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.016734601,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.015896796,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.015011464,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.017160175,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.031297673,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.014548833,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.054931249,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.052312636,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.026241722,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.015454579,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.032756101,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.125076589,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.029763605,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.032199753,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.032199753,"Asia"
