"doi","study.year","latitude","longitude","elevation","MAT","MAP","soil.ph","litter.species","duration","nf","nc","kf","kc","sdf","sdc","yi","vi","invert.effect","weight","Region"
"10.1007/s10021-012-9564-9",2009,5.3,-52.883,"29",25.7,3041,4.4,"Mixture",0.43,20,20,0.971959604,1.599168279,0.110789221,0.376221578,0.497924704,0.003417016,0.392209302,10,"Americas"
"10.1016/j.soilbio.2010.10.005",2008,19.335,-155.15,"1125",22.4,3750,5.93,"Mixture",1,5,5,0.613707732,0.756576983,0.000462731,0.000535524,0.209285482,2.14e-07,0.18883637,2.5,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Dicorynia guianensis",0.56,4,4,0.736507869,0.597286111,0.128713353,0.129741482,-0.209523674,0.01943136,-0.233090567,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Eperua falcata",0.56,4,4,1.22010046,1.444535176,0.084843704,0.385908567,0.168854393,0.019051266,0.155368121,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Caryocar glabrum",0.56,4,4,1.206081248,1.825171055,0.302957191,0.325026701,0.414297246,0.023702408,0.339195499,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Platonia insignis",0.56,4,4,1.137657607,2.471957783,0.236303761,0.178023833,0.776039044,0.012082568,0.539774662,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,1.144389968,0.958956441,0.234291479,0.048814948,-0.176781342,0.01112645,-0.193370125,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,0.977258706,1.22010046,0.21264845,0.087868394,0.221937065,0.013133726,0.199034229,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,0.971126831,1.255601629,0.098435438,0.090425094,0.256913044,0.003865192,0.226564534,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,1.227151556,1.452532695,0.200517285,0.408539256,0.168613043,0.026451726,0.155164245,2,"Americas"
